date,1. open,2. high,3. low,4. close
2020-09-07 20:45:00,0.8968,0.8972,0.8967,0.8968
2020-09-07 20:30:00,0.8968,0.8971,0.8967,0.897
2020-09-07 20:15:00,0.8971,0.8973,0.8966,0.897
2020-09-07 20:00:00,0.8971,0.8973,0.8967,0.8972
2020-09-07 19:45:00,0.8971,0.8973,0.8967,0.8969
2020-09-07 19:30:00,0.8971,0.8975,0.8968,0.8971
2020-09-07 19:15:00,0.8971,0.8974,0.8967,0.8971
2020-09-07 19:00:00,0.897,0.8974,0.8968,0.8971
2020-09-07 18:45:00,0.8971,0.8973,0.8968,0.897
2020-09-07 18:30:00,0.8972,0.8976,0.897,0.8973
2020-09-07 18:15:00,0.8972,0.8976,0.8971,0.8972
2020-09-07 18:00:00,0.897,0.8976,0.8969,0.8972
2020-09-07 17:45:00,0.8972,0.8977,0.8969,0.8972
2020-09-07 17:30:00,0.8972,0.8977,0.897,0.8972
2020-09-07 17:15:00,0.8968,0.8974,0.8968,0.8972
2020-09-07 17:00:00,0.8971,0.8973,0.8966,0.8969
2020-09-07 16:45:00,0.8971,0.8975,0.897,0.8971
2020-09-07 16:30:00,0.8974,0.8977,0.897,0.8971
2020-09-07 16:15:00,0.8979,0.8982,0.8972,0.8974
2020-09-07 16:00:00,0.8982,0.8982,0.8977,0.8979
2020-09-07 15:45:00,0.898,0.8984,0.8977,0.8981
2020-09-07 15:30:00,0.8976,0.8981,0.8973,0.898
2020-09-07 15:15:00,0.8974,0.898,0.8971,0.8976
2020-09-07 15:00:00,0.8978,0.8979,0.8972,0.8975
2020-09-07 14:45:00,0.8975,0.8981,0.8974,0.8977
2020-09-07 14:30:00,0.898,0.8981,0.8973,0.8975
2020-09-07 14:15:00,0.8983,0.8986,0.8979,0.8981
2020-09-07 14:00:00,0.8985,0.8987,0.8981,0.8983
2020-09-07 13:45:00,0.8992,0.8993,0.8982,0.8985
2020-09-07 13:30:00,0.8985,0.8994,0.8983,0.8992
2020-09-07 13:15:00,0.8984,0.8986,0.8979,0.8984
2020-09-07 13:00:00,0.8978,0.8986,0.8977,0.8984
2020-09-07 12:45:00,0.8981,0.8983,0.8975,0.8977
2020-09-07 12:30:00,0.8983,0.8987,0.8979,0.8981
2020-09-07 12:15:00,0.8978,0.8992,0.8977,0.8983
2020-09-07 12:00:00,0.8981,0.8983,0.8976,0.8978
2020-09-07 11:45:00,0.8988,0.8988,0.8977,0.8982
2020-09-07 11:30:00,0.8986,0.899,0.8983,0.8988
2020-09-07 11:15:00,0.8988,0.8989,0.8982,0.8987
2020-09-07 11:00:00,0.8984,0.899,0.8981,0.8988
2020-09-07 10:45:00,0.8983,0.899,0.8979,0.8984
2020-09-07 10:30:00,0.8975,0.8984,0.8971,0.8983
2020-09-07 10:15:00,0.8965,0.8977,0.8963,0.8975
2020-09-07 10:00:00,0.8969,0.8971,0.8964,0.8966
2020-09-07 09:45:00,0.8973,0.8978,0.8968,0.897
2020-09-07 09:30:00,0.8975,0.8979,0.8972,0.8973
2020-09-07 09:15:00,0.897,0.8976,0.8962,0.8974
2020-09-07 09:00:00,0.8967,0.8976,0.8964,0.8969
2020-09-07 08:45:00,0.8955,0.8967,0.8953,0.8967
2020-09-07 08:30:00,0.8948,0.896,0.8947,0.8956
2020-09-07 08:15:00,0.8948,0.8952,0.8945,0.8948
2020-09-07 08:00:00,0.8956,0.8957,0.8946,0.8948
2020-09-07 07:45:00,0.8954,0.896,0.895,0.8956
2020-09-07 07:30:00,0.8955,0.8957,0.895,0.8954
2020-09-07 07:15:00,0.896,0.8962,0.8951,0.8955
2020-09-07 07:00:00,0.8957,0.8962,0.8952,0.896
2020-09-07 06:45:00,0.8957,0.896,0.8954,0.8958
2020-09-07 06:30:00,0.8954,0.8958,0.8951,0.8957
2020-09-07 06:15:00,0.8951,0.8955,0.8947,0.8953
2020-09-07 06:00:00,0.8949,0.8955,0.8946,0.8951
2020-09-07 05:45:00,0.8949,0.895,0.8947,0.8948
2020-09-07 05:30:00,0.8944,0.8949,0.8943,0.8948
2020-09-07 05:15:00,0.8945,0.8945,0.8941,0.8944
2020-09-07 05:00:00,0.8942,0.8945,0.894,0.8945
2020-09-07 04:45:00,0.8942,0.8943,0.8939,0.8943
2020-09-07 04:30:00,0.894,0.8942,0.8938,0.8941
2020-09-07 04:15:00,0.8938,0.894,0.8936,0.8939
2020-09-07 04:00:00,0.8937,0.8939,0.8935,0.8937
2020-09-07 03:45:00,0.8938,0.8938,0.8935,0.8937
2020-09-07 03:30:00,0.8938,0.8938,0.8935,0.8937
2020-09-07 03:15:00,0.8937,0.8939,0.8935,0.8937
2020-09-07 03:00:00,0.8936,0.894,0.8933,0.8938
2020-09-07 02:45:00,0.8935,0.8937,0.8932,0.8936
2020-09-07 02:30:00,0.8934,0.8937,0.8932,0.8934
2020-09-07 02:15:00,0.8932,0.8936,0.893,0.8934
2020-09-07 02:00:00,0.8934,0.8934,0.8929,0.8931
2020-09-07 01:45:00,0.8932,0.8935,0.8931,0.8933
2020-09-07 01:30:00,0.8929,0.8934,0.8929,0.8933
2020-09-07 01:15:00,0.893,0.8932,0.8928,0.893
2020-09-07 01:00:00,0.8931,0.8933,0.8928,0.893
2020-09-07 00:45:00,0.8932,0.8933,0.8929,0.8931
2020-09-07 00:30:00,0.8932,0.8934,0.893,0.8933
2020-09-07 00:15:00,0.8933,0.8935,0.8926,0.8933
2020-09-07 00:00:00,0.8936,0.8938,0.8931,0.8933
2020-09-06 23:45:00,0.8937,0.8938,0.8933,0.8936
2020-09-06 23:30:00,0.8933,0.8938,0.8932,0.8937
2020-09-06 23:15:00,0.8935,0.8936,0.893,0.8933
2020-09-06 23:00:00,0.8936,0.8938,0.8931,0.8934
2020-09-06 22:45:00,0.8939,0.8939,0.8934,0.8936
2020-09-06 22:30:00,0.8936,0.8942,0.8933,0.8939
2020-09-06 22:15:00,0.8932,0.8939,0.8917,0.8936
2020-09-04 22:15:00,0.8917,0.8917,0.8917,0.8917
2020-09-04 22:00:00,0.8916,0.8917,0.8916,0.8916
2020-09-04 21:45:00,0.8916,0.8917,0.8916,0.8916
2020-09-04 21:30:00,0.8916,0.8917,0.8916,0.8916
2020-09-04 21:15:00,0.8913,0.8917,0.8911,0.8916
2020-09-04 21:00:00,0.8915,0.8927,0.8898,0.8912
2020-09-04 20:45:00,0.8912,0.8917,0.891,0.8915
2020-09-04 20:30:00,0.8915,0.8917,0.8909,0.8911
2020-09-04 20:15:00,0.8917,0.8918,0.8913,0.8915
